image_urls,images,price,title
http://books.toscrape.com//media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg,"[{'url': 'http://books.toscrape.com//media/cache/fe/72/fe72f0532301ec28892ae79a629a293c.jpg', 'path': 'full/3426bb829c8b04ea7fc00a2cca0fb353cd439099.jpg', 'checksum': 'bd320b776d5663f69caba2e0da781068'}]",£51.77,A Light in the Attic
http://books.toscrape.com//media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg,"[{'url': 'http://books.toscrape.com//media/cache/08/e9/08e94f3731d7d6b760dfbfbc02ca5c62.jpg', 'path': 'full/a2ca75ccb9fd175e213eefee501de06e69d6cf75.jpg', 'checksum': 'e3953238c2ff7ac507a4bed4485c8622'}]",£53.74,Tipping the Velvet
http://books.toscrape.com//media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg,"[{'url': 'http://books.toscrape.com//media/cache/97/36/9736132a43b8e6e3989932218ef309ed.jpg', 'path': 'full/710564d4dae853bb0c7ef4016fae4e613675e718.jpg', 'checksum': '5bc2c8a1033c2f9278628b4ab2c955a8'}]",£17.93,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull"
http://books.toscrape.com//media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg,"[{'url': 'http://books.toscrape.com//media/cache/ee/cf/eecfe998905e455df12064dba399c075.jpg', 'path': 'full/dfc095b7e01286a5b86604e56600bece79486470.jpg', 'checksum': '693caff3d97645e73bd28da8e5974946'}]",£50.10,Soumission
http://books.toscrape.com//media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg,"[{'url': 'http://books.toscrape.com//media/cache/6b/07/6b07b77236b7c80f42bd90bf325e69f6.jpg', 'path': 'full/b840c10a36965a6e9df3c7df63929a1e1b6ae86b.jpg', 'checksum': '4c76a55711743a65dbcc0b0dc6c76231'}]",£22.65,The Requiem Red
http://books.toscrape.com//media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg,"[{'url': 'http://books.toscrape.com//media/cache/e1/1b/e11bea016d0ae1d7e2dd46fb3cb870b7.jpg', 'path': 'full/9c1435ffbc5379e6d662f5a936d146be8e235666.jpg', 'checksum': 'ba6845e4eb2cf691aa34ed96f3d854c5'}]",£33.34,The Dirty Little Secrets of Getting Your Dream Job
http://books.toscrape.com//media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg,"[{'url': 'http://books.toscrape.com//media/cache/ce/5f/ce5f052c65cc963cf4422be096e915c9.jpg', 'path': 'full/49a36b69337bdb2290645dfe7191e68c65cd4898.jpg', 'checksum': '6adf4bf2113b9b01c7901b625e19b6b3'}]",£54.23,Sapiens: A Brief History of Humankind
http://books.toscrape.com//media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg,"[{'url': 'http://books.toscrape.com//media/cache/c0/59/c05972805aa7201171b8fc71a5b00292.jpg', 'path': 'full/954a113f3c823a4a25768feee03bd27ebc9ffd78.jpg', 'checksum': '0716b1f61cd0e764df6395d4b77e8cce'}]",£47.82,Sharp Objects
http://books.toscrape.com//media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg,"[{'url': 'http://books.toscrape.com//media/cache/d1/2d/d12d26739b5369a6b5b3024e4d08f907.jpg', 'path': 'full/c1c9f5c49fa7794b56794f935c5ddeb925368d1a.jpg', 'checksum': '6c55bb67d47a1147f2adf286cb160723'}]",£22.60,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics
http://books.toscrape.com//media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg,"[{'url': 'http://books.toscrape.com//media/cache/b1/0e/b10eabab1e1c811a6d47969904fd5755.jpg', 'path': 'full/5c14a45378ded3f10754b4dc1ca7c1ff8c7982c5.jpg', 'checksum': 'e7f8ece4eab2ff898a20ce53b4b50dcb'}]",£23.88,Olio
